
Assay:, Absorbance_abso, Description:
Software:, Tecan, Instrument Serial:, 
Plate Seq#1 Comment:, Acquired: Monday, January 01, 2000 00:00 AM Temperature Min/Max: 0.0/0.0°C
Well Number, Time, Absorbance , Sample Type, Flags
1, 00:00:00, 0.0494, UNK1,
1, 00:01:46, 0.0492, UNK1,
1, 00:03:31, 0.0495, UNK1,
1, 00:05:16, 0.0493, UNK1,
1, 00:07:00, 0.0494, UNK1,
2, 00:00:00, 0.0464, UNK2,
2, 00:01:47, 0.0463, UNK2,
2, 00:03:31, 0.0464, UNK2,
2, 00:05:16, 0.0465, UNK2,
2, 00:07:01, 0.0466, UNK2,
3, 00:00:01, 0.0501, UNK3,
3, 00:01:47, 0.05, UNK3,
3, 00:03:32, 0.0503, UNK3,
3, 00:05:17, 0.0501, UNK3,
3, 00:07:02, 0.0504, UNK3,
4, 00:00:01, 0.0454, UNK4,
4, 00:01:48, 0.0454, UNK4,
4, 00:03:32, 0.0457, UNK4,
4, 00:05:17, 0.0455, UNK4,
4, 00:07:02, 0.0457, UNK4,
5, 00:00:02, 0.0461, UNK5,
5, 00:01:48, 0.0459, UNK5,
5, 00:03:33, 0.0464, UNK5,
5, 00:05:18, 0.0464, UNK5,
5, 00:07:03, 0.0462, UNK5,
6, 00:00:03, 0.0465, UNK6,
6, 00:01:49, 0.0463, UNK6,
6, 00:03:34, 0.0465, UNK6,
6, 00:05:19, 0.0466, UNK6,
6, 00:07:03, 0.0466, UNK6,
7, 00:00:03, 0.0466, UNK7,
7, 00:01:50, 0.0465, UNK7,
7, 00:03:34, 0.0466, UNK7,
7, 00:05:19, 0.0467, UNK7,
7, 00:07:04, 0.0469, UNK7,
8, 00:00:04, 0.0454, UNK8,
8, 00:01:50, 0.0454, UNK8,
8, 00:03:35, 0.0455, UNK8,
8, 00:05:20, 0.0457, UNK8,
8, 00:07:05, 0.0456, UNK8,
9, 00:00:04, 0.0451, UNK9,
9, 00:01:51, 0.045, UNK9,
9, 00:03:35, 0.0451, UNK9,
9, 00:05:20, 0.0451, UNK9,
9, 00:07:05, 0.0453, UNK9,
10, 00:00:05, 0.0464, UNK10,
10, 00:01:51, 0.0464, UNK10,
10, 00:03:36, 0.0466, UNK10,
10, 00:05:21, 0.0467, UNK10,
10, 00:07:06, 0.0466, UNK10,
11, 00:00:06, 0.0455, UNK11,
11, 00:01:52, 0.0455, UNK11,
11, 00:03:37, 0.0456, UNK11,
11, 00:05:22, 0.0456, UNK11,
11, 00:07:06, 0.0457, UNK11,
12, 00:00:06, 0.0466, UNK12,
12, 00:01:53, 0.0465, UNK12,
12, 00:03:37, 0.0469, UNK12,
12, 00:05:22, 0.0469, UNK12,
12, 00:07:07, 0.0468, UNK12,
13, 00:00:14, 0.054, UNK13,
