Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;09:58:26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
Fluorescence;;;;;;;;;;;
;;;;;;;;;;;
2 Labels;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
Wavelength;;;;600;nm;;;;;;
Bandwidth;;;;10;nm;;;;;;
Number of Flashes;;;;20;;;;;;;
Settle Time;;;;0;ms;;;;;;
Mode;;;;Fluorescence Top Reading;;;;;;;
Excitation Wavelength;;;;485;nm;;;;;;
Emission Wavelength;;;;535;nm;;;;;;
Excitation Bandwidth;;;;20;nm;;;;;;
Emission Bandwidth;;;;25;nm;;;;;;
Gain;;;;100;Manual;;;;;;
Number of Flashes;;;;10;;;;;;;
Integration Time;;;;20;µs;;;;;;
Lag Time;;;;0;µs;;;;;;
Settle Time;;;;0;ms;;;;;;
Mirror (Automatic);;;;Dichroic 510 (e.g. fluorescein);;;;;;;
Start Time:;23/10/2013 09:58:26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
abso;;;;;;;;;;;
Cycle Nr.;1;2;3;4;5;;;;;;
Temp. [°C];23,2;23,3;23,4;23,8;23,6;;;;;;
A1;0,049400002;0,049199998;0,0495;0,0493;0,049400002;;;;;;
Time [ms];0;106436;211109;316038;420838;;;;;;
A2;0,046399999;0,046300001;0,046399999;0,046500001;0,046599999;;;;;;
Time [ms];609;107045;211718;316647;421447;;;;;;
A3;0,050099999;0,050000001;0,050299998;0,050099999;0,0504;;;;;;
Time [ms];1218;107654;212327;317256;422056;;;;;;
A4;0,045400001;0,045400001;0,045699999;0,045499999;0,045699999;;;;;;
Time [ms];1827;108263;212936;317865;422665;;;;;;
A5;0,046100002;0,045899998;0,046399999;0,046399999;0,0462;;;;;;
Time [ms];2436;108872;213545;318474;423274;;;;;;
A6;0,046500001;0,046300001;0,046500001;0,046599999;0,046599999;;;;;;
Time [ms];3045;109481;214154;319083;423883;;;;;;
A7;0,046599999;0,046500001;0,046599999;0,046700001;0,0469;;;;;;
Time [ms];3654;110090;214763;319692;424492;;;;;;
A8;0,045400001;0,045400001;0,045499999;0,045699999;0,045600001;;;;;;
Time [ms];4263;110699;215372;320301;425101;;;;;;
A9;0,0451;0,045000002;0,0451;0,0451;0,045299999;;;;;;
Time [ms];4872;111308;215981;320910;425710;;;;;;
A10;0,046399999;0,046399999;0,046599999;0,046700001;0,046599999;;;;;;
Time [ms];5481;111917;216590;321519;426319;;;;;;
A11;0,045499999;0,045499999;0,045600001;0,045600001;0,045699999;;;;;;
Time [ms];6090;112526;217199;322128;426928;;;;;;
A12;0,046599999;0,046500001;0,0469;0,0469;0,046799999;;;;;;
Time [ms];6699;113135;217808;322737;427537;;;;;;
B1;0,054000001;0,054499999;0,054699998;0,054499999;0,054699998;;;;;;
Time [ms];14113;120549;225223;330152;434951;;;;;;
B2;0,046700001;0,046999998;0,047200002;0,0473;0,0471;;;;;;
Time [ms];13504;119940;224614;329543;434342;;;;;;
B3;0,045899998;0,046;0,046300001;0,046300001;0,046599999;;;;;;
Time [ms];12895;119331;224005;328934;433733;;;;;;
B4;0,047499999;0,047699999;0,047899999;0,047699999;0,047899999;;;;;;
Time [ms];12286;118722;223396;328325;433124;;;;;;
B5;0,046100002;0,046100002;0,0462;0,046100002;0,046500001;;;;;;
Time [ms];11677;118113;222787;327716;432515;;;;;;
B6;0,047600001;0,047800001;0,048;0,047800001;0,047899999;;;;;;
Time [ms];11068;117504;222178;327107;431906;;;;;;
B7;0,046399999;0,046700001;0,0469;0,0469;0,046700001;;;;;;
Time [ms];10459;116895;221569;326498;431297;;;;;;
B8;0,048999999;0,0491;0,0491;0,049199998;0,049199998;;;;;;
Time [ms];9850;116286;220960;325889;430688;;;;;;
B9;0,0458;0,046;0,046100002;0,0462;0,045899998;;;;;;
Time [ms];9240;115677;220351;325280;430079;;;;;;
B10;0,048700001;0,048599999;0,048799999;0,048900001;0,048900001;;;;;;
Time [ms];8631;115068;219742;324671;429470;;;;;;
B11;0,043900002;0,044;0,044100001;0,044199999;0,044199999;;;;;;
Time [ms];8022;114459;219133;324062;428861;;;;;;
B12;0,046700001;0,0469;0,046999998;0,0471;0,046999998;;;;;;
Time [ms];7413;113850;218524;323453;428252;;;;;;
C1;0,044100001;0,044300001;0,044599999;0,044599999;0,044500001;;;;;;
Time [ms];14828;121264;225938;330867;435665;;;;;;
C2;0,046599999;0,046799999;0,0471;0,0471;0,0471;;;;;;
Time [ms];15437;121873;226547;331476;436274;;;;;;
C3;0,0447;0,044799998;0,045200001;0,045000002;0,045200001;;;;;;
Time [ms];16047;122482;227156;332085;436883;;;;;;
C4;0,045400001;0,045600001;0,046;0,0458;0,045899998;;;;;;
Time [ms];16656;123091;227765;332694;437492;;;;;;
C5;0,049899999;0,0502;0,050299998;0,0502;0,0502;;;;;;
Time [ms];17265;123700;228374;333303;438101;;;;;;
C6;0,044799998;0,045000002;0,0449;0,045299999;0,045200001;;;;;;
Time [ms];17874;124309;228983;333912;438710;;;;;;
C7;0,044399999;0,0447;0,044799998;0,044799998;0,0449;;;;;;
Time [ms];18483;124918;229592;334521;439319;;;;;;
C8;0,0462;0,046500001;0,046500001;0,046300001;0,046399999;;;;;;
Time [ms];19092;125527;230201;335130;439928;;;;;;
C9;0,044599999;0,0447;0,045000002;0,044799998;0,0451;;;;;;
Time [ms];19701;126136;230810;335739;440537;;;;;;
C10;0,0447;0,0451;0,045400001;0,045200001;0,045200001;;;;;;
Time [ms];20310;126745;231419;336348;441146;;;;;;
C11;0,048099998;0,048500001;0,048500001;0,0482;0,048799999;;;;;;
Time [ms];20919;127354;232028;336957;441755;;;;;;
C12;0,046100002;0,046;0,0462;0,046300001;0,046500001;;;;;;
Time [ms];21528;127963;232637;337566;442364;;;;;;
D1;0,0462;0,046500001;0,046700001;0,046799999;0,046700001;;;;;;
Time [ms];28942;135377;240050;344980;449778;;;;;;
D2;0,046999998;0,046999998;0,047200002;0,0473;0,0471;;;;;;
Time [ms];28333;134768;239441;344371;449169;;;;;;
D3;0,045200001;0,045600001;0,045899998;0,045699999;0,0458;;;;;;
Time [ms];27724;134159;238832;343762;448560;;;;;;
D4;0,0458;0,045899998;0,046399999;0,0462;0,046100002;;;;;;
Time [ms];27115;133550;238223;343153;447951;;;;;;
D5;0,0517;0,052000001;0,052099999;0,052299999;0,0524;;;;;;
Time [ms];26506;132941;237614;342544;447342;;;;;;
D6;0,045000002;0,0449;0,045200001;0,0451;0,045299999;;;;;;
Time [ms];25897;132332;237005;341935;446733;;;;;;
D7;0,0447;0,045000002;0,0451;0,045000002;0,045200001;;;;;;
Time [ms];25288;131723;236396;341326;446124;;;;;;
D8;0,045299999;0,045600001;0,045699999;0,045899998;0,045699999;;;;;;
Time [ms];24679;131114;235787;340717;445515;;;;;;
D9;0,0458;0,046399999;0,046300001;0,046399999;0,046399999;;;;;;
Time [ms];24070;130505;235178;340108;444906;;;;;;
